longitude,latitude,light_intensity,geometry,index_right,quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,light_intensity_category,avg_d_kbps_category,avg_u_kbps_category
56.11250189,25.97916627,173,POINT (56.11250188890002 25.9791662745),3274715,1.23E+15,615069,321801,6,1,1,High,fast,fast
56.11666856,25.97916627,172,POINT (56.11666855560002 25.9791662745),3274716,1.23E+15,345314,232133,6,8,4,High,fast,fast
56.12500189,25.97916627,169,POINT (56.125001889000025 25.9791662745),3274722,1.23E+15,240229,179146,8,3,1,High,fast,fast
56.05833522,25.97499961,174,POINT (56.05833522180002 25.9749996078),3274656,1.23E+15,43752,53887,6,1,1,High,slow,moderate
56.06250189,25.97499961,172,POINT (56.06250188850002 25.9749996078),3274656,1.23E+15,43752,53887,6,1,1,High,slow,moderate
56.06666856,25.97499961,166,POINT (56.066668555200025 25.9749996078),3274658,1.23E+15,18298,9353,5,2,2,High,slow,slow
56.08333522,25.97499961,177,POINT (56.08333522200002 25.9749996078),3274717,1.23E+15,42998,4054,6,1,1,High,slow,slow
56.10833522,25.97499961,172,POINT (56.108335222200026 25.9749996078),3274718,1.23E+15,190001,247999,8,1,1,High,fast,fast
56.11250189,25.97499961,173,POINT (56.11250188890002 25.9749996078),3274718,1.23E+15,190001,247999,8,1,1,High,fast,fast
56.11666856,25.97499961,173,POINT (56.11666855560002 25.9749996078),3274719,1.23E+15,235883,188222,11,15,4,High,fast,fast
56.05416856,25.97083294,175,POINT (56.05416855510002 25.970832941100003),3274657,1.23E+15,211654,73757,7,5,2,High,fast,moderate
56.05416856,25.96666627,175,POINT (56.05416855510002 25.9666662744),3274659,1.23E+15,193386,133284,12,18,8,High,fast,moderate
56.05833522,25.96666627,174,POINT (56.05833522180002 25.9666662744),3274660,1.23E+15,431834,226576,8,2,1,High,fast,fast
56.06250189,25.96666627,172,POINT (56.06250188850002 25.9666662744),3274660,1.23E+15,431834,226576,8,2,1,High,fast,fast
56.05416856,25.96249961,174,POINT (56.05416855510002 25.962499607700003),3274661,1.23E+15,92611,8931,17,3,1,High,moderate,slow
56.05833522,25.96249961,175,POINT (56.05833522180002 25.962499607700003),3274662,1.23E+15,409964,42224,7,1,1,High,fast,slow
56.06250189,25.96249961,171,POINT (56.06250188850002 25.962499607700003),3274662,1.23E+15,409964,42224,7,1,1,High,fast,slow
56.10416856,25.96249961,173,POINT (56.10416855550002 25.962499607700003),3274720,1.23E+15,242510,160304,6,10,5,High,fast,fast
56.05416856,25.95833294,178,POINT (56.05416855510002 25.958332941),3274661,1.23E+15,92611,8931,17,3,1,High,moderate,slow
56.05833522,25.95833294,179,POINT (56.05833522180002 25.958332941),3274662,1.23E+15,409964,42224,7,1,1,High,fast,slow
56.06250189,25.95833294,175,POINT (56.06250188850002 25.958332941),3274662,1.23E+15,409964,42224,7,1,1,High,fast,slow
56.10416856,25.95833294,173,POINT (56.10416855550002 25.958332941),3274720,1.23E+15,242510,160304,6,10,5,High,fast,fast
56.06666856,25.94999961,172,POINT (56.066668555200025 25.9499996076),3274724,1.23E+15,280048,238797,6,1,1,High,fast,fast
56.05416856,25.94583294,172,POINT (56.05416855510002 25.9458329409),3274725,1.23E+15,298861,55604,6,2,2,High,fast,moderate
56.06666856,25.94583294,171,POINT (56.066668555200025 25.9458329409),3274726,1.23E+15,162257,109825,6,17,8,High,fast,moderate
56.06666856,25.94166627,169,POINT (56.066668555200025 25.941666274200003),3274727,1.23E+15,85385,8260,6,1,1,High,moderate,slow
56.05416856,25.93333294,169,POINT (56.05416855510002 25.933332940800003),3274729,1.23E+15,80163,22057,25,2,2,High,moderate,slow
56.05416856,25.92916627,169,POINT (56.05416855510002 25.9291662741),3274729,1.23E+15,80163,22057,25,2,2,High,moderate,slow
51.58750185,25.92499961,0,POINT (51.58750185270002 25.9249996074),3272487,1.23E+15,15296,6052,631,6,3,Low,slow,slow
51.59166852,25.92499961,0,POINT (51.59166851940002 25.9249996074),3272487,1.23E+15,15296,6052,631,6,3,Low,slow,slow
51.58750185,25.92083294,0,POINT (51.58750185270002 25.9208329407),3272488,1.23E+15,26420,7716,520,1,1,Low,slow,slow
51.59166852,25.92083294,0,POINT (51.59166851940002 25.9208329407),3272488,1.23E+15,26420,7716,520,1,1,Low,slow,slow
56.05000189,25.92083294,170,POINT (56.050001888400026 25.9208329407),3274728,1.23E+15,216550,143380,5,6,3,High,fast,moderate
56.05416856,25.92083294,169,POINT (56.05416855510002 25.9208329407),3274730,1.23E+15,394950,279023,7,6,3,High,fast,fast
56.05000189,25.91666627,0,POINT (56.050001888400026 25.916666274),3274737,1.23E+15,185445,102409,7,10,6,Low,fast,moderate
56.05416856,25.91666627,169,POINT (56.05416855510002 25.916666274),3274738,1.23E+15,361304,187517,6,26,6,High,fast,fast
56.05416856,25.91249961,0,POINT (56.05416855510002 25.912499607300003),3274739,1.23E+15,289260,112710,8,3,3,Low,fast,moderate
56.05416856,25.90833294,0,POINT (56.05416855510002 25.9083329406),3274740,1.23E+15,296844,93773,6,1,1,Low,fast,moderate
56.05833522,25.90833294,171,POINT (56.05833522180002 25.9083329406),3274741,1.23E+15,238082,219744,5,1,1,High,fast,fast
56.06250189,25.90833294,171,POINT (56.06250188850002 25.9083329406),3274741,1.23E+15,238082,219744,5,1,1,High,fast,fast
56.05416856,25.90416627,0,POINT (56.05416855510002 25.904166273900003),3274740,1.23E+15,296844,93773,6,1,1,Low,fast,moderate
56.05833522,25.90416627,170,POINT (56.05833522180002 25.904166273900003),3274741,1.23E+15,238082,219744,5,1,1,High,fast,fast
56.06250189,25.90416627,172,POINT (56.06250188850002 25.904166273900003),3274741,1.23E+15,238082,219744,5,1,1,High,fast,fast
